stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06567] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06568] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06570] added dtor for sample_instance 0000000002BD9370, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06572] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06574] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06575] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06579] added dtor for sample_instance 0000000002BD7E70, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06581] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06583] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06584] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06587] added dtor for sample_instance 0000000002BD8B90, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06589] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06606] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06608] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06610] added dtor for sample_instance 0000000002BD90D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06612] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06614] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06615] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06617] added dtor for sample_instance 0000000002BD9610, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06619] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06621] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06622] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06624] added dtor for sample_instance 0000000002BD9220, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06626] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06628] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06629] 
